RepoName,RepoType,GitHubURL,TravisFileURL
jonasrothfuss/fishervector,Applied,https://github.com/jonasrothfuss/fishervector.git,https://github.com/jonasrothfuss/fishervector/blob/master/.travis.yml
kLabUM/rrcf,Applied,https://github.com/kLabUM/rrcf.git,https://github.com/kLabUM/rrcf/blob/master/.travis.yml
IBM/MAX-Text-Sentiment-Classifier,Applied,https://github.com/IBM/MAX-Text-Sentiment-Classifier.git,https://github.com/IBM/MAX-Text-Sentiment-Classifier/blob/master/.travis.yml
jawahar273/practNLPTools-lite,Applied,https://github.com/jawahar273/practNLPTools-lite.git,https://github.com/jawahar273/practNLPTools-lite/blob/master/.travis.yml
tensorly/tensorly,Tool,https://github.com/tensorly/tensorly.git,https://github.com/tensorly/tensorly/blob/master/.travis.yml
ScottfreeLLC/AlphaPy,Applied,https://github.com/ScottfreeLLC/AlphaPy.git,https://github.com/ScottfreeLLC/AlphaPy/blob/master/.travis.yml
vkuznet/MLaaS4HEP,Applied,https://github.com/vkuznet/MLaaS4HEP.git,https://github.com/vkuznet/MLaaS4HEP/blob/master/.travis.yml
hawk31/pyGPGO,Applied,https://github.com/hawk31/pyGPGO.git,https://github.com/hawk31/pyGPGO/blob/master/.travis.yml
mir-am/LightTwinSVM,Tool,https://github.com/mir-am/LightTwinSVM.git,https://github.com/mir-am/LightTwinSVM/blob/master/.travis.yml
JonathanRaiman/pytreebank,Applied,https://github.com/JonathanRaiman/pytreebank.git,https://github.com/JonathanRaiman/pytreebank/blob/master/.travis.yml
iandanforth/pymuscle,Applied,https://github.com/iandanforth/pymuscle.git,https://github.com/iandanforth/pymuscle/blob/master/.travis.yml
chainer/onnx-chainer,Applied,https://github.com/chainer/onnx-chainer.git,https://github.com/chainer/onnx-chainer/blob/master/.travis.yml
hachmannlab/chemml,Applied,https://github.com/hachmannlab/chemml.git,https://github.com/hachmannlab/chemml/blob/master/.travis.yml
Cloud-CV/EvalAI,Applied,https://github.com/Cloud-CV/EvalAI.git,https://github.com/Cloud-CV/EvalAI/blob/master/.travis.yml
Legilibre/legi.py,Applied,https://github.com/Legilibre/legi.py.git,https://github.com/Legilibre/legi.py/blob/master/.travis.yml
oseiskar/autosubsync,Applied,https://github.com/oseiskar/autosubsync.git,https://github.com/oseiskar/autosubsync/blob/master/.travis.yml
maxrousseau/pfla,Applied,https://github.com/maxrousseau/pfla.git,https://github.com/maxrousseau/pfla/blob/master/.travis.yml
apple/turicreate,Applied,https://github.com/apple/turicreate.git,https://github.com/apple/turicreate/blob/master/.travis.yml
DrSleep/light-weight-refinenet,Applied,https://github.com/DrSleep/light-weight-refinenet.git,https://github.com/DrSleep/light-weight-refinenet/blob/master/.travis.yml
sethah/deeptennis,Applied,https://github.com/sethah/deeptennis.git,https://github.com/sethah/deeptennis/blob/master/.travis.yml
scikit-garden/scikit-garden,Applied,https://github.com/scikit-garden/scikit-garden.git,https://github.com/scikit-garden/scikit-garden/blob/master/.travis.yml
netrack/keras-metrics,Applied,https://github.com/netrack/keras-metrics.git,https://github.com/netrack/keras-metrics/blob/master/.travis.yml
chakki-works/chazutsu,Tool,https://github.com/chakki-works/chazutsu.git,https://github.com/chakki-works/chazutsu/blob/master/.travis.yml
src-d/ml-core,Tool,https://github.com/src-d/ml-core.git,https://github.com/src-d/ml-core/blob/master/.travis.yml
dirty-cat/dirty_cat,Applied,https://github.com/dirty-cat/dirty_cat.git,https://github.com/dirty-cat/dirty_cat/blob/master/.travis.yml
Hananel-Hazan/bindsnet,Applied,https://github.com/Hananel-Hazan/bindsnet.git,https://github.com/Hananel-Hazan/bindsnet/blob/master/.travis.yml
OFAI/hub-toolbox-python3,Applied,https://github.com/OFAI/hub-toolbox-python3.git,https://github.com/OFAI/hub-toolbox-python3/blob/master/.travis.yml
sintefneodroid/agent,Applied,https://github.com/sintefneodroid/agent.git,https://github.com/sintefneodroid/agent/blob/master/.travis.yml
pescadores/pescador,Applied,https://github.com/pescadores/pescador.git,https://github.com/pescadores/pescador/blob/master/.travis.yml
CyberZHG/wiki-dump-reader,Applied,https://github.com/CyberZHG/wiki-dump-reader.git,https://github.com/CyberZHG/wiki-dump-reader/blob/master/.travis.yml
MagNet-DL/magnet,Applied,https://github.com/MagNet-DL/magnet.git,https://github.com/MagNet-DL/magnet/blob/master/.travis.yml
daniel-cortez-stevenson/crypto-predict,Applied,https://github.com/daniel-cortez-stevenson/crypto-predict.git,https://github.com/daniel-cortez-stevenson/crypto-predict/blob/master/.travis.yml
mikgroup/sigpy,Applied,https://github.com/mikgroup/sigpy.git,https://github.com/mikgroup/sigpy/blob/master/.travis.yml
maximecb/gym-miniworld,Applied,https://github.com/maximecb/gym-miniworld.git,https://github.com/maximecb/gym-miniworld/blob/master/.travis.yml
cgre-aachen/bayseg,Tool,https://github.com/cgre-aachen/bayseg.git,https://github.com/cgre-aachen/bayseg/blob/master/.travis.yml
